system   D            wsystem.c:583  maybe_parent_dir                 [   0.00080] Also searching C:\Users\Marcin\Documents\SGD\lab\Maze2\
system   D            wsystem.c:630  _al_win_safe_load_library        [   0.00120] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00125] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.00443] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:879  _al_d3d_init_display             [   0.03487] Render-to-texture: 1
system   I             system.c:270  al_install_system                [   0.03497] Allegro version: 5.0.5
d3d      I         d3d_disp.cpp:1919 d3d_create_display_locked        [   0.03625] faux_fullscreen=0
display  D   display_settings.c:486  _al_score_display_settings       [   0.05732] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.05736] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.05738] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.05741] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.05743] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.05745] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.05747] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.05749] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.05751] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.05753] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.05755] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.05757] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.05759] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.05761] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.05763] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.05765] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.05767] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.05769] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.05771] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.05773] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.05775] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.05777] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.05779] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.05781] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.05783] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.05785] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.05787] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.05789] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.05791] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.05793] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.05795] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.05797] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.05799] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.05806] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.05808] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.05810] Score is : 713
display  D   display_settings.c:357  _al_score_display_settings       [   0.05812] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05814] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05817] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05819] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05821] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05823] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05825] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05827] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05829] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05831] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05833] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05835] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05837] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05839] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05841] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05843] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05846] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05848] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05850] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05852] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05854] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05856] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05857] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05859] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05861] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05863] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05865] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05867] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05869] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05871] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05873] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05875] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05880] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05882] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05884] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05886] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.05888] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.05890] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.05892] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.05894] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.05895] Score is : 769
