system   D            wsystem.c:583  maybe_parent_dir                 [   0.03011] Also searching C:\Users\Marcin\Documents\SGD\lab\Maze2\
system   D            wsystem.c:630  _al_win_safe_load_library        [   0.03064] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.03067] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.04303] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:879  _al_d3d_init_display             [   0.11785] Render-to-texture: 1
system   I             system.c:270  al_install_system                [   0.11793] Allegro version: 5.0.5
d3d      I         d3d_disp.cpp:1919 d3d_create_display_locked        [   0.11949] faux_fullscreen=0
display  D   display_settings.c:486  _al_score_display_settings       [   0.14215] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.14220] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.14221] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.14223] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.14225] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.14227] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.14228] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.14230] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.14232] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.14234] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.14235] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.14236] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.14238] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.14239] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.14240] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.14241] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.14243] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.14245] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.14246] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.14248] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.14249] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.14251] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.14253] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.14254] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.14256] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.14258] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.14259] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.14261] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.14262] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.14263] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.14265] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.14266] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.14267] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.14276] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.14278] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.14280] Score is : 713
display  D   display_settings.c:357  _al_score_display_settings       [   0.14282] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14284] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14285] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14286] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14288] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14289] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14290] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14292] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14293] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14294] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14296] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14298] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14300] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14301] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14303] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14305] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14306] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14308] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14310] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14311] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14313] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14314] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14315] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14317] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14318] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14319] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14321] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14323] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14324] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14326] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14328] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14330] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14331] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14333] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14335] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.14337] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.14338] Score is : 769
